,name,rest_id,city,area,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link
0,Sanu Family Restaurant,88740,57,Chandrashekarpur,"['Tandoor', 'Chinese', 'Biryani', 'Indian']",25000,30,30,30,Near Brothers Residency,60% off | Use DEAL60,Percentage,RESTAURANT,2200,
1,Green Chillyz,74268,57,Chandrashekarpur,"['Indian', 'Chinese', 'Biryani', 'Tandoor']",20000,32,32,32,Kalinga Hospital Square,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
2,Smog Resto Cafe,76133,57,Chandrashekarpur,"['Indian', 'Chinese', 'Tandoor']",40000,38,38,38,Gajapati Nagar,,,,2200,
3,Asia seven express,82621,57,Rasulgarh,"['Pan-Asian', 'Chinese', 'Seafood', 'Thai', 'Asian']",40000,51,51,51,Esplande,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
4,GREENLAND INN,330284,57,Chandrashekarpur,"['Indian', 'Chinese']",20000,28,28,28,Chandrashekarpur,,,,2200,
5,Sandhyarani Hotel,121567,57,Chandrashekarpur,['Indian'],18000,24,24,24,"Press Square, Gajapati Nagar",15% off on orders above ₹498,Percentage,RESTAURANT,2200,
6,Street Foods by Punjab Grill,82619,57,Rasulgarh,"['North Indian', 'Indian', 'Biryani', 'Punjabi', 'Fast Food', 'Kebabs', 'Mughlai', 'Desserts']",35000,48,48,48,Esplande,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
7,Garam Masala,73598,57,Chandrashekarpur,"['Indian', 'Chinese', 'Tandoor', 'Biryani']",25000,43,43,43,above punjab national bank,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2200,
8,KALPANA HOTEL AND KOLKATA ROLL,297569,57,Chandrashekarpur,"['Biryani', 'Ice Cream', 'Indian']",35000,26,26,26,sainik School Square,,,,2200,
9,Hotel Maharaja and Fast Food,85777,57,Khandagiri,"['Indian', 'Chinese', 'Tandoor', 'Biryani']",25000,52,52,52,Fire Station,50% off | Use SWIGGYIT,Percentage,RESTAURANT,3700,
10,Tandoor Matka,100776,57,Rasulgarh,"['Beverages', 'Indian', 'Chinese', 'Biryani', 'Fast Food', 'Thalis']",15000,38,38,38,"NALCO Square, Chandrasekharpur, Bhubaneswar.",50% off | Use SWIGGYIT,Percentage,RESTAURANT,2200,
11,HUNGER GARAGE,309084,57,Chandrashekarpur,"['Indian', 'Chinese', 'Biryani', 'Thalis', 'Fast Food']",20000,38,38,38,Chandrashekarpur,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2200,
12,HOTEL JAI RADISSION ,296281,57,Chandrashekarpur,"['Biryani', 'North Indian', 'Fast Food', 'Continental']",20000,49,49,49,Patia,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
13,Chancellor Restaurant,326176,57,Chandrashekarpur,"['Chinese', 'Indian', 'Tandoor']",25000,32,32,32,Chandrashekarpur,,,,2200,
14,Anjali Kitchen,312390,57,Chandrashekarpur,['Indian'],20000,36,36,36,Kalinga Hospital Square,30% off on orders above ₹100,Percentage,RESTAURANT,2200,
15,Rolling Crunchy's,157316,57,Chandrashekarpur,"['Italian', 'Pizzas', 'Tandoor', 'Biryani']",25000,38,38,38,Chandrashekarpur,25% off on orders above ₹100,Percentage,RESTAURANT,2200,
16,Anjali Kitchen,312390,57,Chandrashekarpur,['Indian'],20000,36,36,36,Kalinga Hospital Square,30% off on orders above ₹100,Percentage,RESTAURANT,2200,
17,Rolling Crunchy's,157316,57,Chandrashekarpur,"['Italian', 'Pizzas', 'Tandoor', 'Biryani']",25000,38,38,38,Chandrashekarpur,25% off on orders above ₹100,Percentage,RESTAURANT,2200,
18,Giani,73593,57,Chandrashekarpur,"['Desserts', 'Beverages']",20000,28,28,28,Nandankanan Road,10% off | Use PARTY,Percentage,RESTAURANT,2200,
