name,rest_id,city,area,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link
MEALFUL WRAPS,274772,1,HSR,"['Fast Food', 'North Indian', 'Desserts', 'Snacks', 'Indian']",25000,21,21,21,Harlur Road,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Polar Bear,159251,1,Kudlu Gate,['Desserts'],30000,22,22,22,Haralur,30% off | Use JUMBO,Percentage,RESTAURANT,2500,
Embassy Dhaba,254401,1,Kudlu Gate,['Indian'],30000,23,23,23,Kudlu Gate,,,,2500,
Baskin Robbins,61688,1,Bellandur Sarjapur,['Desserts'],30000,24,24,24,"Bineeta Plaza,Harlur Road",20% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Biryani Rooh-e-Khaas,151050,1,Kudlu Gate,"['Mughlai', 'Biryani']",30000,24,24,24,HSR Layout,,,,2500,
Quickie.in,308486,1,HSR,"['Snacks', 'Beverages']",20000,25,25,25,HSR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Frozen Bottle,107708,1,Bellandur Sarjapur,"['Beverages', 'Ice Cream', 'Desserts']",25000,25,25,25,Harlur Road,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2800,
Sundae Everyday Ice Creams,255298,1,Bellandur Sarjapur,"['Desserts', 'Ice Cream']",20000,26,26,26,Bellandur Sarjapur,60% off | Use DEAL60,Percentage,RESTAURANT,0,
BOX8 - Desi Meals,289257,1,HSR,"['North Indian', 'Biryani', 'Fast Food', 'Combo', 'Snacks']",25000,26,26,26,Harlur Road,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Kolkata Rolls & Fast Food,77873,1,HSR,['Fast Food'],15000,26,26,26,Anki Reddy Bavana Parangi Palya,20% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
"Cupcake Noggins - Cakes,Pastries and Desserts(Sarjapur Rd)",1887,1,Bellandur Sarjapur,"['Desserts', 'British', 'Pizzas', 'Bakery', 'Snacks']",15000,26,26,26,Bineeta Plaza,,,,2800,
Healthful,310683,1,Kudlu Gate,"['Continental', 'Indian', 'Oriental', 'Healthy Food', 'Pan-Asian', 'Home Food', 'North Indian', 'Chinese', 'Desserts', 'Salads']",25000,27,27,27,Kudlu Gate,60% off | Use DEAL60,Percentage,RESTAURANT,0,
Gulpp,305857,1,HSR,"['Beverages', 'Desserts']",15000,27,27,27,"Link Rd, BDA Layout",40% off | Use HEALTHHUB,Percentage,RESTAURANT,2500,
Lassi'licious ,151226,1,Bellandur Sarjapur,"['Gujarati', 'Fast Food', 'Street Food', 'Indian', 'North Indian', 'Maharashtrian', 'Rajasthani']",30000,27,27,27,Bellandur Sarjapur,30% off on orders above ₹149,Percentage,RESTAURANT,2800,
Dhaba By Husbands Kitchen,321862,1,Bellandur Sarjapur,"['North Indian', 'Fast Food']",20000,27,27,27,Haralur Road,10% off on orders above ₹149,Percentage,RESTAURANT,2800,
Kebab-E-Sultanat,317766,1,HSR,"['Awadhi', 'Mughlai', 'North Indian']",40000,27,27,27,HSR,,,,2500,
Combo Junction,334345,1,HSR,"['Indian', 'Combo']",20000,27,27,27,HSR,,,,2500,
SAPTAPADI KOLKATA,336354,1,Kudlu Gate,"['North Indian', 'Biryani']",30000,27,27,27,Kudlu Gate,,,,2500,
Balle Balle Kitchen,150397,1,HSR,"['North Indian', 'Mughlai', 'Chinese', 'Hyderabadi', 'Punjabi']",20000,27,27,27,HSR,,,,2500,
Kia's Kitchen,61979,1,HSR,"['Indian', 'Chinese', 'Thalis', 'Biryani']",25000,27,27,27,27th main,,,,2500,
Munchies By Kapoor Aunty,304085,1,HSR,['Snacks'],40000,27,27,27,HSR,,,,2500,
The Meal Story,246088,1,Bellandur Sarjapur,['North Indian'],40000,27,27,27,Bellandur,,,,2800,
"Cupcake Noggins - Cakes,Pastries and Desserts",19087,1,Bellandur Sarjapur,"['Desserts', 'Bakery', 'Pizzas', 'Snacks']",15000,27,27,27,27th Main Sector 1,,,,2800,
Bombay Kulfis,40671,1,HSR,"['Desserts', 'Ice Cream', 'Sweets']",10000,28,28,28,"Sector 2, HSR",Free Delivery | Use FREEDEL,FREE_DELIVERY,RESTAURANT,0,
Itminaan Biryani - Dum Pukht,313595,1,HSR,"['Biryani', 'North Indian', 'Mughlai']",40000,28,28,28,Harlur Road,60% off | Use DEAL60,Percentage,RESTAURANT,2500,
