name,rest_id,city,area,rating,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link
Sandhyarani Hotel,121567,57,Chandrashekarpur,3.2,['Indian'],18000,24,24,24,"Press Square, Gajapati Nagar",15% off on orders above ₹498,Percentage,RESTAURANT,2200,
Giani,73593,57,Chandrashekarpur,4.2,"['Desserts', 'Beverages']",20000,27,27,27,Nandankanan Road,10% off | Use PARTY,Percentage,RESTAURANT,2200,
GREENLAND INN,330284,57,Chandrashekarpur,--,"['Indian', 'Chinese']",20000,28,28,28,Chandrashekarpur,,,,2200,
BAMBO-MATKA BIRYANI,343681,57,Patia,--,['Indian'],30000,28,28,28,Patia,,,,2200,
Sanu Family Restaurant,88740,57,Chandrashekarpur,3.8,"['Tandoor', 'Chinese', 'Biryani', 'Indian']",25000,29,29,29,Near Brothers Residency,60% off | Use DEAL60,Percentage,RESTAURANT,2200,
FOOD FATAAKHA,310212,57,Sahid Nagar,--,"['Chinese', 'Indian']",30000,29,29,29,Sahid Nagar,,,,2200,
FOODISTO,341138,57,Patia,--,['North Indian'],20000,29,29,29,Patia,,,,2200,
Hide Away Restro and Cafe,77318,57,Sahid Nagar,--,['North Indian'],60000,30,30,30,Unit 4,,,,2200,
Rajvansh Biryani,311659,57,Patia,4,"['North Indian', 'Chinese']",50000,31,31,31,Chandrashekharpur,Free Delivery | Use FREEDEL,FREE_DELIVERY,RESTAURANT,0,
Wow! Momo,79066,57,Sahid Nagar,4.3,"['Tibetan', 'Fast Food', 'Chinese', 'Snacks', 'Continental', 'Desserts']",30000,31,31,31,JANPATH RD,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2200,
HOME KITCHEN,330204,57,Sahid Nagar,--,['Tandoor'],20000,31,31,31,Sahid Nagar,,,,2200,
Arbic Biriyani,319268,57,Patia,--,"['Biryani', 'Indian']",15000,31,31,31,Patia,,,,2700,
Omm Sai Ram Fast Food,73753,57,Chandrashekarpur,4.1,"['Indian', 'Chinese', 'Tandoor']",20000,32,32,32,Nandankanan Road,,,,2200,
Curry Nation,73591,57,Chandrashekarpur,3.6,"['Indian', 'Bengali', 'Oriya']",50000,33,33,33,Chandrasekharpur,20% off | Use SWIGGYIT,Percentage,RESTAURANT,2200,
Barbeque Odisha,72741,57,Patia,--,"['Indian', 'Tandoor', 'Chinese']",50000,33,33,33,Opposite Reliance Fresh,,,,2200,
DELISH KITCHEN,334684,57,Sahid Nagar,--,"['Indian', 'Chinese', 'Tandoor', 'Biryani']",20000,33,33,33,Sahid Nagar,,,,2700,
Grill Gharana,299791,57,Nayapalli,--,"['Indian', 'Chinese', 'Tandoor', 'Grill', 'Kebabs', 'Oriya']",75000,33,33,33,Jaydev Vihar,,,,2700,
YUMMY TUMMY,330841,57,Sahid Nagar,--,"['Chinese', 'Fast Food', 'Snacks']",30000,33,33,33,Sahid Nagar,,,,2700,
Haldi,320647,57,Nayapalli,--,"['Indian', 'Biryani']",30000,33,33,33,NAYAPALLI,,,,2700,
Giani,100771,57,Sahid Nagar,4.3,"['Desserts', 'Ice Cream']",20000,34,34,34,"Bhouma Nagar,Unit 4",10% off | Use PARTY,Percentage,RESTAURANT,2700,
CRAZY MAGGIE AND BURGER,315970,57,Chandrashekarpur,--,['Fast Food'],20000,34,34,34,Sahid Nagar,,,,2200,
CRAZY MAGGIE & BURGER,339223,57,Chandrashekarpur,--,"['Chinese', 'Continental', 'Indian']",40000,34,34,34,Chandrashekharpur,,,,2200,
YUMMY TUMMY,330841,57,Sahid Nagar,--,"['Chinese', 'Fast Food', 'Snacks']",30000,34,34,34,Sahid Nagar,,,,2700,
HUNGER GARAGE,309084,57,Chandrashekarpur,3.8,"['Indian', 'Chinese', 'Biryani', 'Thalis', 'Fast Food']",20000,35,35,35,Chandrashekarpur,50% off | Use SWIGGYIT,Percentage,RESTAURANT,2200,
Pabrais Fresh and Naturelle Ice creams,335166,57,Sahid Nagar,--,['Ice Cream'],30000,35,35,35,Sahid Nagar,,,,2200,
FOOD I LAND,323578,57,Sahid Nagar,--,['North Indian'],20000,35,35,35,Sahid Nagar,,,,2700,
"KHATI	CORNER",304654,57,Sahid Nagar,--,"['Fast Food', 'Snacks']",20000,35,35,35,Sahid Nagar,,,,2700,
NEW BEST BAKERY,305149,57,Sahid Nagar,--,['Indian'],20000,35,35,35,Sahid Nagar,,,,2700,
OISHII,305774,57,Chandrashekarpur,--,"['Chinese', 'Indian']",30000,35,35,35,Chandrashekarpur,,,,2700,
